Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE TAPESTRY,63 Tampines Street 86  #15-51 ,1,69,Strata,944460,-,13688,1272,18-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528511,East Region,Tampines
PARC VERA,2 Hougang Street 32  #17-07 ,1,276,Strata,2068000,-,7493,696,18-Dec-18,Condominium,99 Yrs From 20/12/2010,2014,Resale,Private,19,53,534041,North East Region,Hougang
MAYFAIR GARDENS,8 Rifle Range Road  #03-01 ,1,103,Strata,2039000,-,19796,1839,18-Dec-18,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,Private,21,58,588376,Central Region,Bukit Timah
TREE HOUSE,62 Chestnut Avenue  #10-08 ,1,107,Strata,1260000,-,11776,1094,18-Dec-18,Condominium,99 Yrs From 23/11/2009,2013,Resale,HDB,23,67,679518,West Region,Bukit Panjang
TANGLIN REGENCY,381 Tanglin Road  #11-03 ,1,91,Strata,1380000,-,15165,1409,18-Dec-18,Condominium,99 Yrs From 01/05/1994,1998,Resale,Private,10,24,247965,Central Region,Bukit Merah
KANDIS RESIDENCE,10 Kandis Link  #02-18 ,1,95,Strata,1302000,-,13705,1273,18-Dec-18,Condominium,99 Yrs From 11/07/2016,Uncompleted,New Sale,N.A,27,75,756971,North Region,Sembawang
SOUTHAVEN I,41 Hindhede Walk  #06-04 ,1,122,Strata,1313000,-,10762,1000,18-Dec-18,Condominium,99 Yrs From 01/08/1994,1997,Resale,Private,21,58,587972,West Region,Bukit Panjang
THE LAKESHORE,31 Jurong West Street 41  #09-28 ,1,110,Strata,1350000,-,12273,1140,17-Dec-18,Condominium,99 Yrs From 22/11/2002,2007,Resale,Private,22,64,649412,West Region,Jurong West
LIVIA,61 Pasir Ris Grove  #03-02 ,1,143,Strata,1270000,-,8881,825,17-Dec-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518215,East Region,Pasir Ris
MAYFAIR GARDENS,16 Rifle Range Road  #04-32 ,1,52,Strata,1122000,-,21577,2005,17-Dec-18,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,N.A,21,58,588407,Central Region,Bukit Timah
THE CREST,101 Prince Charles Crescent  #02-03 ,1,146,Strata,2830000,-,19384,1801,17-Dec-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159017,Central Region,Bukit Merah
REFLECTIONS AT KEPPEL BAY,1 Keppel Bay View  #02-05 ,1,172,Strata,2988800,-,17377,1614,17-Dec-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98402,Central Region,Bukit Merah
JEWEL @ BUANGKOK,83 Compassvale Bow  #06-13 ,1,45,Strata,665000,-,14778,1373,17-Dec-18,Condominium,99 Yrs From 12/09/2012,2016,Resale,Private,19,54,544684,North East Region,Sengkang
SELETAR SPRINGS CONDOMINIUM,106 Gerald Drive  #03-17 ,1,91,Strata,775000,-,8516,791,17-Dec-18,Condominium,99 Yrs From 12/08/1997,2000,Resale,Private,28,79,798595,North East Region,Hougang
COSTA RHU,1 Rhu Cross  #16-14 ,1,191,Strata,2580000,-,13508,1255,17-Dec-18,Condominium,99 Yrs From 30/05/1994,1997,Resale,Private,15,43,437431,Central Region,Kallang
BEDOK COURT,299 Bedok South Avenue 3  #04-09 ,1,210,Strata,1668000,-,7943,738,17-Dec-18,Condominium,99 Yrs From 10/04/1982,1985,Resale,Private,16,46,469298,East Region,Bedok
PARC BOTANNIA,18 Fernvale Street  #07-32 ,1,91,Strata,1308300,-,14377,1336,17-Dec-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797394,North East Region,Sengkang
PARK COLONIAL,10 Woodleigh Lane  #01-42 ,1,91,Strata,1547000,-,17000,1579,17-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh
MARTIN MODERN,8 Martin Place  #29-07 ,1,94,Strata,3246000,-,34532,3208,16-Dec-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237992,Central Region,River Valley
THE TAPESTRY,61 Tampines Street 86  #10-43 ,1,41,Strata,679645,-,16577,1540,16-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528510,East Region,Tampines
THE TRE VER,66 Potong Pasir Avenue 1  #15-28 ,1,46,Strata,819000,-,17804,1654,15-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358394,Central Region,Toa Payoh
THE TAPESTRY,57 Tampines Street 86  #08-26 ,1,86,Strata,1224000,-,14233,1322,15-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528542,East Region,Tampines
PARK COLONIAL,6 Woodleigh Lane  #10-24 ,1,43,Strata,846000,-,19674,1828,15-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh
THE TRE VER,60 Potong Pasir Avenue 1  #10-04 ,1,46,Strata,752000,-,16348,1519,15-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,HDB,13,35,358391,Central Region,Toa Payoh
THE TAPESTRY,59 Tampines Street 86  #07-35 ,1,92,Strata,1260506,-,13701,1273,15-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528509,East Region,Tampines
PARK COLONIAL,12 Woodleigh Lane  #13-50 ,1,159,Strata,2980000,-,18742,1741,15-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh
THE INFLORA,57 Flora Drive  #07-21 ,1,69,Strata,750000,-,10870,1010,14-Dec-18,Condominium,99 Yrs From 25/05/2012,2016,Resale,Private,17,50,506865,East Region,Pasir Ris
EIGHT RIVERSUITES,2 Whampoa East  #26-02 ,1,87,Strata,1292000,-,14851,1380,14-Dec-18,Condominium,99 Yrs From 11/07/2011,2016,Resale,HDB,12,33,338517,Central Region,Kallang
REGENT PARK,26 Jalan Lempeng  #09-17 ,1,84,Strata,925000,-,11012,1023,14-Dec-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,5,12,128805,West Region,Clementi
MELVILLE PARK,26 Simei Street 1  #04-03 ,1,92,Strata,700000,-,7609,707,14-Dec-18,Condominium,99 Yrs From 01/09/1992,1996,Resale,Private,18,52,529947,East Region,Tampines
WATERFRONT KEY,772 Bedok Reservoir Road  #13-08 ,1,141,Strata,1920000,-,13617,1265,14-Dec-18,Condominium,99 Yrs From 31/10/2007,2012,Resale,Private,16,47,479251,East Region,Bedok
CASTLE GREEN,487 Yio Chu Kang Road  #04-08 ,1,88,Strata,825000,-,9375,871,14-Dec-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787059,North East Region,Ang Mo Kio
PARK COLONIAL,2 Woodleigh Lane  #14-03 ,1,101,Strata,1940000,-,19208,1784,14-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
PARC VERA,10 Hougang Street 32  #03-19 ,1,73,Strata,816000,-,11178,1038,14-Dec-18,Condominium,99 Yrs From 20/12/2010,2014,Resale,HDB,19,53,534037,North East Region,Hougang
BISHAN PARK CONDOMINIUM,20 Sin Ming Walk  #05-07 ,1,118,Strata,1180000,-,10000,929,14-Dec-18,Condominium,99 Yrs From 01/03/1991,1994,Resale,Private,20,57,575570,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #08-30 ,1,71,Strata,1290000,-,18169,1688,14-Dec-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
EAST MEADOWS,32 Tanah Merah Kechil Road  #07-15 ,1,115,Strata,1175000,-,10217,949,14-Dec-18,Condominium,99 Yrs From 02/03/1998,2002,Resale,Private,16,46,465559,East Region,Bedok
PARC VERA,2 Hougang Street 32  #03-05 ,1,106,Strata,1200000,-,11321,1052,14-Dec-18,Condominium,99 Yrs From 20/12/2010,2014,Resale,HDB,19,53,534041,North East Region,Hougang
MI CASA,319 Choa Chu Kang Avenue 3  #15-19 ,1,127,Strata,1300000,-,10236,951,14-Dec-18,Condominium,99 Yrs From 25/08/2008,2012,Resale,HDB,23,68,689863,West Region,Choa Chu Kang
THE TAPESTRY,55 Tampines Street 86  #15-23 ,1,185,Strata,2340900,-,12654,1176,14-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528541,East Region,Tampines
J GATEWAY,2 Gateway Drive  #18-14 ,1,64,Strata,1220000,-,19063,1771,14-Dec-18,Condominium,99 Yrs From 28/08/2012,2016,Resale,Private,22,60,608533,West Region,Jurong East
CENTRO RESIDENCES,59 Ang Mo Kio Avenue 8  #11-12 ,1,76,Strata,1166000,-,15342,1425,14-Dec-18,Condominium,99 Yrs From 11/12/2007,2014,Resale,N.A,20,56,567752,North East Region,Ang Mo Kio
PALM ISLES,38 Flora Drive  #03-53 ,1,47,Strata,560000,-,11915,1107,14-Dec-18,Condominium,99 Yrs From 14/09/2011,2015,Resale,Private,17,50,506895,East Region,Pasir Ris
SEASONS PARK,499 Yio Chu Kang Road  #05-02 ,1,103,Strata,930000,-,9029,839,14-Dec-18,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787082,North East Region,Ang Mo Kio
THE NAUTICAL,95 Jalan Sendudok  #05-45 ,1,181,Strata,1620000,-,8950,832,14-Dec-18,Condominium,99 Yrs From 29/08/2011,2015,Resale,HDB,27,76,769473,North Region,Sembawang
FLO RESIDENCE,5 Punggol Field Walk  #04-11 ,1,94,Strata,960000,-,10213,949,14-Dec-18,Condominium,99 Yrs From 05/12/2011,2016,Resale,HDB,19,82,828741,North East Region,Punggol
RIVERSAILS,18 Upper Serangoon Crescent  #16-46 ,1,96,Strata,1180000,-,12292,1142,14-Dec-18,Condominium,99 Yrs From 07/12/2011,2016,Resale,HDB,19,53,534027,North East Region,Hougang
THOMSON GRAND,11 Sin Ming Walk  #04-01 ,1,88,Strata,1250000,-,14205,1320,14-Dec-18,Condominium,99 Yrs From 08/02/2010,2015,Resale,HDB,20,57,575579,Central Region,Bishan
REGENT PARK,22 Jalan Lempeng  #07-01 ,1,76,Strata,845000,-,11118,1033,13-Dec-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,5,12,128803,West Region,Clementi
PARK COLONIAL,8 Woodleigh Lane  #14-39 ,1,80,Strata,1363000,-,17038,1583,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,10 Woodleigh Lane  #03-45 ,1,59,Strata,1098000,-,18610,1729,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh
8@WOODLEIGH,2 Woodleigh Close  #07-08 ,1,100,Strata,1525000,-,15250,1417,13-Dec-18,Condominium,99 Yrs From 22/09/2008,2012,Resale,HDB,13,35,357900,Central Region,Toa Payoh
CLOVER BY THE PARK,2 Bishan Street 25  #34-04 ,1,116,Strata,1670000,-,14397,1337,13-Dec-18,Condominium,99 Yrs From 10/09/2007,2011,Resale,HDB,20,57,573973,Central Region,Bishan
CARIBBEAN AT KEPPEL BAY,44 Keppel Bay Drive  #03-124 ,1,83,Strata,1410000,-,16988,1578,13-Dec-18,Condominium,99 Yrs From 16/08/1999,2004,Resale,HDB,4,9,98657,Central Region,Bukit Merah
PARK COLONIAL,4 Woodleigh Lane  #06-10 ,1,91,Strata,1604000,-,17626,1638,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh
PARK COLONIAL,12 Woodleigh Lane  #02-54 ,1,91,Strata,1575000,-,17308,1608,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh
TANGLIN REGENCY,383 Tanglin Road  #02-08 ,1,66,Strata,975000,-,14773,1372,13-Dec-18,Condominium,99 Yrs From 01/05/1994,1998,Resale,Private,10,24,247966,Central Region,Bukit Merah
KANDIS RESIDENCE,8 Kandis Link  #03-11 ,1,71,Strata,908300,-,12793,1188,13-Dec-18,Condominium,99 Yrs From 11/07/2016,Uncompleted,New Sale,HDB,27,75,756970,North Region,Sembawang
GARDENVISTA,962 Dunearn Road  #03-30 ,1,88,Strata,1230000,-,13977,1299,13-Dec-18,Condominium,99 Yrs From 09/09/1999,2006,Resale,Private,21,58,589487,Central Region,Bukit Timah
PARK COLONIAL,6 Woodleigh Lane  #08-20 ,1,63,Strata,1351000,-,21444,1992,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh
REGENT PARK,22 Jalan Lempeng  #06-04 ,1,84,Strata,903000,-,10750,999,13-Dec-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,5,12,128803,West Region,Clementi
THE LAKEFRONT RESIDENCES,42 Lakeside Drive  #13-03 ,1,93,Strata,1290000,-,13871,1289,13-Dec-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,Private,22,64,648322,West Region,Jurong West
THE TRUMPS,1 Jalan Kembangan  #11-12 ,1,132,Strata,1600000,-,12121,1126,13-Dec-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,14,41,419154,East Region,Bedok
PARK COLONIAL,12 Woodleigh Lane  #12-55 ,1,131,Strata,2445000,-,18664,1734,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh
THE TRE VER,66 Potong Pasir Avenue 1  #08-29 ,1,64,Strata,1094000,-,17094,1588,13-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358394,Central Region,Toa Payoh
YISHUN EMERALD,32 Canberra Drive  #12-28 ,1,110,Strata,870000,-,7909,735,13-Dec-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,HDB,27,76,768431,North Region,Yishun
PARK COLONIAL,2 Woodleigh Lane  #02-03 ,1,101,Strata,1876000,-,18574,1726,13-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh
THE TAPESTRY,53 Tampines Street 86  #04-20 ,1,92,Strata,1170400,-,12722,1182,13-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines
THE TANAMERA,5 Tanah Merah Kechil Road  #18-06 ,1,141,Strata,1380000,-,9787,909,13-Dec-18,Condominium,99 Yrs From 01/06/1990,1994,Resale,Private,16,46,466665,East Region,Bedok
SOUTHAVEN I,41 Hindhede Walk  #09-06 ,1,216,Strata,2000000,-,9259,860,12-Dec-18,Condominium,99 Yrs From 01/08/1994,1997,Resale,Private,21,58,587972,West Region,Bukit Panjang
ASCENTIA SKY,3 Alexandra View  #31-08 ,1,165,Strata,2520000,-,15273,1419,12-Dec-18,Condominium,99 Yrs From 26/03/2008,2013,Resale,Private,3,15,158749,Central Region,Bukit Merah
CASPIAN,60 Lakeside Drive  #06-40 ,1,115,Strata,1380000,-,12000,1115,12-Dec-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,HDB,22,64,648320,West Region,Jurong West
THE TAPESTRY,57 Tampines Street 86  #07-26 ,1,86,Strata,1218400,-,14167,1316,12-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528542,East Region,Tampines
CLEMENTIWOODS CONDOMINIUM,82 West Coast Road  #04-28 ,1,151,Strata,1780000,-,11788,1095,12-Dec-18,Condominium,99 Yrs From 07/02/2006,2010,Resale,Private,5,12,126817,West Region,Clementi
CENTRAL GREEN CONDOMINIUM,3 Jalan Membina  #03-03 ,1,120,Strata,1850000,-,15417,1432,12-Dec-18,Condominium,99 Yrs From 01/07/1992,1995,Resale,Private,3,16,169480,Central Region,Bukit Merah
THE TAPESTRY,53 Tampines Street 86  #06-21 ,1,56,Strata,848000,-,15143,1407,12-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines
PARK COLONIAL,12 Woodleigh Lane  #03-53 ,1,59,Strata,1121000,-,19000,1765,12-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh
PARC OLYMPIA,50 Flora Drive  #07-02 ,1,92,Strata,900000,-,9783,909,11-Dec-18,Condominium,99 Yrs From 25/01/2012,2015,Resale,HDB,17,50,506868,East Region,Pasir Ris
THE TRE VER,64 Potong Pasir Avenue 1  #08-20 ,1,46,Strata,796000,-,17304,1608,11-Dec-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358393,Central Region,Toa Payoh
THE TAPESTRY,61 Tampines Street 86  #02-49 ,1,44,Strata,683880,-,15543,1444,11-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528510,East Region,Tampines
THE GARDENS AT BISHAN,1 Sin Ming Walk  #08-33 ,1,114,Strata,1375000,-,12061,1121,11-Dec-18,Condominium,99 Yrs From 22/03/1997,2004,Resale,Private,20,57,575574,Central Region,Bishan
D'LEEDON,3 Leedon Heights  #06-04 ,1,147,Strata,2600000,-,17687,1643,11-Dec-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267951,Central Region,Bukit Timah
THE TAPESTRY,53 Tampines Street 86  #04-17 ,1,64,Strata,921600,-,14400,1338,11-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines
WATERBANK AT DAKOTA,84 Dakota Crescent  #09-32 ,1,82,Strata,1375000,-,16768,1558,10-Dec-18,Condominium,99 Yrs From 07/12/2009,2013,Resale,Private,14,39,399948,Central Region,Geylang
BLUE HORIZON,23 West Coast Crescent  #19-07 ,1,113,Strata,1295000,-,11460,1065,10-Dec-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128046,West Region,Clementi
CHUAN PARK,244 Lorong Chuan  #20-06 ,1,109,Strata,1125000,-,10321,959,10-Dec-18,Condominium,99 Yrs From 06/06/1980,1985,Resale,Private,19,55,556745,North East Region,Serangoon
THE METROPOLITAN CONDOMINIUM,8 Alexandra View  #34-09 ,1,127,Strata,2100000,-,16535,1536,10-Dec-18,Condominium,99 Yrs From 17/02/2006,2009,Resale,Private,3,15,158747,Central Region,Bukit Merah
RIVER PLACE,62 Havelock Road  #05-02 ,1,98,Strata,1650000,-,16837,1564,10-Dec-18,Condominium,99 Yrs From 07/11/1995,1999,Resale,Private,3,16,169659,Central Region,Singapore River
THE CLEARWATER,12 Bedok Reservoir View  #14-34 ,1,128,Strata,1400000,-,10938,1016,10-Dec-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,Private,16,47,479237,East Region,Bedok
JADESCAPE,6 Shunfu Road  #02-19 ,1,60,Strata,1076800,-,17947,1667,10-Dec-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
BOATHOUSE RESIDENCES,31 Upper Serangoon View  #15-22 ,1,104,Strata,1190000,-,11442,1063,10-Dec-18,Condominium,99 Yrs From 09/02/2011,2015,Resale,HDB,19,53,534043,North East Region,Hougang
SILVERSEA,46 Marine Parade Road  #10-06 ,1,91,Strata,1610000,-,17692,1644,10-Dec-18,Condominium,99 Yrs From 20/07/2007,2014,Resale,Private,15,44,449305,Central Region,Marine Parade
THE PALETTE,113 Pasir Ris Grove  #10-40 ,1,83,Strata,938000,-,11301,1050,10-Dec-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,HDB,18,51,518171,East Region,Pasir Ris
PARC CENTROS,88 Punggol Central  #14-17 ,1,108,Strata,1360000,-,12593,1170,10-Dec-18,Condominium,99 Yrs From 19/03/2012,2016,Resale,HDB,19,82,828721,North East Region,Punggol
GUILIN VIEW,24 Bukit Batok Street 52  #06-05 ,1,80,Strata,690000,-,8625,801,10-Dec-18,Condominium,99 Yrs From 24/04/1996,2000,Resale,Private,23,65,659246,West Region,Bukit Batok
SOUTHAVEN I,41 Hindhede Walk  #08-07 ,1,102,Strata,1050000,-,10294,956,10-Dec-18,Condominium,99 Yrs From 01/08/1994,1997,Resale,Private,21,58,587972,West Region,Bukit Panjang
MAYFAIR GARDENS,12 Rifle Range Road  #03-23 ,1,46,Strata,992000,-,21565,2003,9-Dec-18,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,Private,21,58,588378,Central Region,Bukit Timah
PARK COLONIAL,12 Woodleigh Lane  #04-53 ,1,59,Strata,1125000,-,19068,1771,8-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh
THE TAPESTRY,63 Tampines Street 86  #13-52 ,1,105,Strata,1450400,-,13813,1283,8-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528511,East Region,Tampines
JADESCAPE,8 Shunfu Road  #23-27 ,1,60,Strata,1168700,-,19478,1810,8-Dec-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
THE TAPESTRY,57 Tampines Street 86  #01-26 ,1,86,Strata,1210400,-,14074,1308,8-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528542,East Region,Tampines
PARK COLONIAL,8 Woodleigh Lane  #11-29 ,1,43,Strata,837000,-,19465,1808,8-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,6 Woodleigh Lane  #15-23 ,1,107,Strata,1680000,-,15701,1459,8-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh
THE TAPESTRY,63 Tampines Street 86  #11-58 ,1,56,Strata,879660,-,15708,1459,7-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528511,East Region,Tampines
THE PALETTE,103 Pasir Ris Grove  #12-08 ,1,70,Strata,835000,-,11929,1108,7-Dec-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,HDB,18,51,518196,East Region,Pasir Ris
BISHAN POINT,61 Bright Hill Drive  #18-01 ,1,138,Strata,1535000,-,11123,1033,7-Dec-18,Condominium,99 Yrs From 06/12/1997,2005,Resale,Private,20,57,579653,Central Region,Bishan
RIVERSAILS,12 Upper Serangoon Crescent  #13-32 ,1,103,Strata,1155000,-,11214,1042,7-Dec-18,Condominium,99 Yrs From 07/12/2011,2016,Resale,Private,19,53,534030,North East Region,Hougang
TANJONG RIA CONDOMINIUM,121 Tanjong Rhu Road  #07-18 ,1,130,Strata,1658000,-,12754,1185,7-Dec-18,Condominium,99 Yrs From 31/05/1993,1997,Resale,Private,15,43,436914,Central Region,Kallang
HILLVIEW REGENCY,28 Bukit Batok East Avenue 2  #03-16 ,1,90,Strata,805000,-,8944,831,7-Dec-18,Condominium,99 Yrs From 20/06/2000,2005,Resale,HDB,23,65,659921,West Region,Bukit Batok
THE TAPESTRY,63 Tampines Street 86  #04-51 ,1,56,Strata,851310,-,15202,1412,7-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528511,East Region,Tampines
FLO RESIDENCE,7 Punggol Field Walk  #13-17 ,1,71,Strata,822000,-,11577,1076,7-Dec-18,Condominium,99 Yrs From 05/12/2011,2016,Resale,HDB,19,82,828742,North East Region,Punggol
EUPHONY GARDENS,5 Jalan Mata Ayer  #02-22 ,1,110,Strata,828800,-,7535,700,7-Dec-18,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759151,North Region,Mandai
EIGHT COURTYARDS,12 Canberra Drive  #08-23 ,1,81,Strata,840000,-,10370,963,7-Dec-18,Condominium,99 Yrs From 20/09/2010,2014,Resale,HDB,27,76,768094,North Region,Yishun
SEASTRAND,7 Pasir Ris Link  #07-16 ,1,82,Strata,950000,-,11585,1076,7-Dec-18,Condominium,99 Yrs From 03/01/2011,2014,Resale,Private,18,51,518188,East Region,Pasir Ris
MI CASA,319 Choa Chu Kang Avenue 3  #18-17 ,1,123,Strata,1210000,-,9837,914,7-Dec-18,Condominium,99 Yrs From 25/08/2008,2012,Resale,HDB,23,68,689863,West Region,Choa Chu Kang
JEWEL @ BUANGKOK,89 Compassvale Bow  #07-35 ,1,46,Strata,685000,-,14891,1383,7-Dec-18,Condominium,99 Yrs From 12/09/2012,2016,Resale,Private,19,54,544687,North East Region,Sengkang
SKY HABITAT,9 Bishan Street 15  #24-15 ,1,108,Strata,1820000,-,16852,1566,7-Dec-18,Condominium,99 Yrs From 30/05/2011,2015,Resale,Private,20,57,573909,Central Region,Bishan
CENTRAL GROVE,3 Geylang East Avenue 1  #02-10 ,1,115,Strata,1210000,-,10522,977,7-Dec-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,Private,14,38,389779,Central Region,Geylang
PARK COLONIAL,10 Woodleigh Lane  #14-42 ,1,111,Strata,1705000,-,15360,1427,7-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357657,Central Region,Toa Payoh
THE MINTON,6A Hougang Street 11  #03-13 ,1,113,Strata,1320000,-,11681,1085,7-Dec-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,Private,19,53,538756,North East Region,Hougang
CITYLIGHTS,88 Jellicoe Road  #29-26 ,1,67,Strata,1160000,-,17313,1608,7-Dec-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,Private,8,20,208747,Central Region,Kallang
THE TAPESTRY,63 Tampines Street 86  #06-52 ,1,105,Strata,1411200,-,13440,1249,7-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528511,East Region,Tampines
GRANDEUR PARK RESIDENCES,5 Bedok South Avenue 3  #13-25 ,1,135,Strata,2192000,-,16237,1508,7-Dec-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,Private,16,46,465463,East Region,Bedok
STRATFORD COURT,41A Bedok Ria Crescent  #02-28 ,1,92,Strata,918000,-,9978,927,6-Dec-18,Condominium,99 Yrs From 23/06/1995,1998,Resale,Private,16,48,489929,East Region,Bedok
REFLECTIONS AT KEPPEL BAY,33 Keppel Bay View  #37-96 ,1,286,Strata,3339630,-,11677,1085,6-Dec-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98419,Central Region,Bukit Merah
PARK COLONIAL,8 Woodleigh Lane  #11-30 ,1,43,Strata,837000,-,19465,1808,6-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #01-39 ,1,62,Strata,1232000,-,19871,1846,6-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
THE CREST,103 Prince Charles Crescent  #05-08 ,1,57,Strata,1280000,-,22456,2086,6-Dec-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159018,Central Region,Bukit Merah
